연번,정류소명,정류소번호,총계,승차 일반,승차 청소년,승차 어린이,환승 일반,환승 청소년,환승 어린이
97,도산역,5008,380147,175619,96562,72310,28223,7131,302
98,진월대주아파트,3242,377434,236741,54030,4224,73353,7954,1132
99,대인시장(동),1008,369695,262912,39476,1565,61847,3484,411
100,하남중,5288,368343,285838,36714,4315,34905,6015,556
101,신가동,5304,366365,231037,30712,2719,89915,11195,787
102,금남로5가역,1114,364663,275860,14026,891,69608,4014,264
103,무등도서관,4174,361458,241041,26333,2012,82204,9039,829
104,신안사거리,4342,355535,230391,13609,1780,102861,5375,1519
105,풍암사거리(동),2261,353664,179533,93479,38379,32705,9095,473
106,금호시영아파트,2009,348152,279171,36576,7243,21657,3072,433
107,고려고,4251,345748,231062,70851,3563,30638,8892,742
108,대성여고,3235,342066,190598,64870,3861,71824,10082,831
109,말바우시장(서),4416,340132,226573,11937,1373,95966,3845,438
110,염주사거리(동),2305,339716,246877,51563,1529,33865,5288,594
111,예술의거리입구,1126,338546,267300,19660,871,47432,2944,339
112,유창아파트,4402,336440,296959,15913,1302,20091,2001,174
113,쌍암공원,5402,335746,177830,75506,60415,19675,1876,444
114,학동무등파크,1163,333315,246462,63120,13293,8096,2020,324
115,5.18자유공원,2209,331520,158143,89258,76137,5908,1608,466
116,운암시장,4449,331199,188284,63608,1178,66993,10564,572
117,월곡시장,5316,330399,225278,21226,970,75551,6800,574
118,월곡시장,5315,328376,217507,22236,1559,77748,8697,629
119,전남대후문위,4410,328112,197226,22095,1401,97854,8442,1094
120,염주사거리(서),2306,325139,223968,46654,2979,43274,7758,506
121,농산물공판장,3007,324806,192324,49732,45697,35329,1614,110
122,무등산국립공원(증심사),1162,323963,235526,33808,29528,24032,661,408
123,광주일고,4513,323270,204371,24385,962,83042,10056,454
124,매곡대화아파트,4204,320975,247401,52176,17572,2523,729,574
125,동림푸른마을,4152,320586,259511,43646,3008,11820,1920,681
126,교통연수원입구,4469,320456,87010,150723,49645,23477,9342,259
127,동천마을1단지,4154,318865,244574,28831,1821,37171,5997,471
128,문화중,4418,315465,221286,33259,4153,50520,5521,726
129,일곡사거리,4474,315197,190606,44880,4389,65557,8747,1018
130,라인효친,3119,315160,228002,75558,2324,6192,2768,316
131,운암시장,4448,314488,220679,36689,1837,49781,5070,432
132,금남로5가역,1113,312271,251416,12737,1154,43134,3436,394
133,현대아파트,4249,311713,257534,25771,2495,23748,1685,480
134,전남여고,1129,311091,225569,40859,1540,38682,3897,544
135,대인시장(동),1007,310078,221204,20106,615,65398,2510,245
136,신우아파트,3183,306142,199775,18691,1457,79170,6348,701
137,전남대,4346,298098,248251,20387,699,26530,2053,178
138,보건대입구,5172,291709,230070,39382,634,19038,2457,128
139,유동사거리,4534,291538,227331,14706,1681,45008,2501,311
140,광주농수산물유통센터(북),5743,289666,217490,48376,3411,15586,3970,833
141,쌍촌시영아파트,2085,286975,225540,29968,2366,25852,2713,536
142,용봉주공,4209,286404,184462,33292,3188,57967,6380,1115
143,양림휴먼시아1차,3080,282419,225669,29239,2495,21506,3016,494
144,향토음식박물관,4488,278458,134088,75555,1959,51997,13926,933
145,어등초교,5310,275908,213642,41047,2336,14858,3373,652
146,대동고,2100,275907,118344,86269,62485,5948,2664,197
147,신우아파트,3184,274559,197736,21634,1026,50186,3514,463
148,대광여고,3210,274557,161254,54891,2667,48997,6299,449
149,월산5동,3185,273694,202500,24916,1277,39520,5072,409
150,운남삼성아파트,5305,273436,200950,41637,3343,23482,3431,593
151,전남대병원오거리,1045,272189,216534,15434,2643,34138,2964,476
152,CBS방송국,2013,271650,208330,34239,3536,21118,3896,531
153,북구우산동주민센터,4425,270247,185086,14843,1115,65977,2948,278
154,운암우미아파트,4457,269562,221162,29025,1339,15694,1879,463
155,돌고개역(동),2163,266576,169388,18168,1568,71094,6201,157
156,동림교,4147,265836,180519,53305,29448,1427,746,391
157,지원2동주민센터,1099,265179,184406,39127,27409,12579,1178,480
158,풍암우미아파트,2263,263145,206161,38007,4420,11149,2443,965
159,염주체육관,2310,263078,191260,35141,9408,23205,3232,832
160,성덕교,5711,262824,201025,42876,5723,10174,2321,705
161,법원입구,1057,259472,201593,14243,1114,40206,2050,266
162,주남,1090,258996,119648,64969,59638,12392,1978,371
163,광주여대,5273,256550,200669,19705,1579,30779,3428,390
164,서광주한전,2058,256177,176287,14889,1065,59594,4127,215
165,현대아파트,4426,253315,200833,17939,3517,28625,1924,477
166,광주일고,4512,253314,159983,23179,854,64058,4887,353
167,경신여고(일방로),4436,251720,92190,31101,850,112481,14583,515
168,롯데칠성,4030,251271,196461,37954,2165,12216,1998,477
169,월계중,5404,250750,166059,51646,16856,12562,2986,641
170,운암중,4458,248934,155379,46158,1426,39127,6423,421
171,문흥중,4238,248598,132504,86028,15094,11263,3204,505
172,보훈병원,5436,247228,156885,17008,1721,62311,8875,428
173,광주송정역,5158,245188,182783,17522,1969,39068,3539,307
174,봉선삼익아파트(남),3125,245029,197039,29403,7798,9070,1291,428
175,기아자동차,2270,245011,157432,17860,915,57899,10276,629
176,서방시장(남),4421,244003,170871,12079,726,57457,2608,262
177,광산구청,5217,242776,163362,24462,12257,37310,4994,391
178,광주고,1003,242394,180789,24038,1065,34107,2208,187
179,두암주공입구,4188,242307,199312,22836,1704,16241,1916,298
180,돌고개역(서),2042,242263,147770,14578,738,71189,7508,480
181,전남대후문(북),4409,241870,168412,29531,1096,37384,5061,386
182,주공아파트,4248,241500,186944,17352,2308,31751,2565,580
183,문흥명지아파트,4244,239122,189622,35877,5079,6397,1496,651
184,유덕초교,2197,238033,153065,21500,1894,55367,5624,583
185,목련마을,5295,237773,157458,26772,1778,42323,8718,724
186,송정초교,5011,237126,151589,54572,23726,5476,1129,634
187,양림휴먼시아1차,3081,236178,170023,31836,2868,26611,4033,807
188,화훼단지,2155,235477,128729,52186,49667,4518,330,47
189,버들마을,2192,235142,171667,25964,1673,32606,2857,375
190,양림휴먼시아2차,3079,234918,160116,29054,3887,36328,5000,533
191,한국수자원공사,2240,234759,154390,38780,20911,17901,2403,374
192,광주역,4333,234560,155588,16349,743,55550,6063,267
193,각화무등파크,4173,234514,151031,46681,31769,3926,722,385
194,문화중,4419,234291,160857,22929,2082,42741,5134,548
195,만호초교,2317,232609,149984,46694,23999,8789,2609,534
196,고려고,4250,231868,101264,80303,2882,36543,9965,911
197,농협운천지점,2213,231599,159101,37975,6969,23672,3567,315
198,신가주공아파트,5186,231242,173195,36140,4276,13750,3397,484
199,신창중,5112,229239,149651,45872,3093,22664,7618,341
200,서남동주민센터,1050,228282,170202,30350,14685,11709,1225,111
201,효동초교입구,4552,227940,177486,16781,1729,28631,2911,402
202,무양서원입구,5431,227408,148549,45168,1343,25055,6941,352
203,대성초교,3138,227203,191959,14638,1995,16688,1448,475
204,조각배어린이공원,3267,226921,174591,26631,20435,4317,671,276
205,양림휴먼시아2차,3078,226793,179621,26326,2045,15616,2726,459
206,덕산아파트,4160,224071,182308,19668,777,19419,1714,185
207,풍향시장,4570,223904,166531,11669,1133,41573,2544,454
208,계수초교,2230,223616,126656,55343,38267,2280,687,383
209,봉선대화아파트,3214,223063,166987,28960,4392,19487,2830,407
210,신안교,4338,222466,159887,14245,1656,40477,5652,549
211,동강대,4415,221713,128877,37315,1110,49069,5059,283
212,전남대,4347,221620,140760,15633,460,60109,4293,365
213,염주맨션,2303,221432,159918,42845,1056,14612,2601,400
214,어등초교,5309,221340,171216,29980,1470,15715,2489,470
215,홍림교,1167,221275,169043,29399,14524,7178,854,277
216,광주대입구,3228,221086,160327,30006,6664,21861,1985,243
217,동명회/송원고,2244,220819,82525,98689,13173,15580,10700,152
218,신창동우체국,5192,220601,161494,33019,2067,19470,4042,509
219,광주고,1004,219972,149388,35434,850,31249,2930,121
220,롯데백화점,1119,219081,165583,5448,828,44733,2320,169
221,양산호수공원,4079,218717,172048,27232,1479,15724,1842,392
222,상무지구입구,2081,218437,126784,16462,2466,66501,5840,384
223,동곡,5017,217079,144947,36304,31269,3875,343,341
224,양산택지사거리,4573,216187,155154,40186,6034,11261,3030,522
225,율곡초교,4193,215858,175236,20803,3814,14071,1487,447
226,쌍촌시영아파트,2084,215367,164731,22967,2069,22892,2423,285
227,고내입구,4007,214256,88015,59040,54897,10779,1108,417
228,영광통,5166,214057,136451,22510,4779,42996,6942,379
229,산수오거리,1026,214011,168282,14342,1328,27935,1815,309
230,녹동,1083,213846,108148,52440,45734,5655,1393,476
231,문산중,4228,213481,112164,53171,46304,1328,345,169
232,송하삼익아파트,3160,212049,151875,21844,3695,29500,4701,434
233,신안교,4339,211219,140678,13980,684,50216,5270,391
234,주월중입구,3217,210427,143779,32951,3044,24929,5112,612
235,오치초교,4376,209283,156526,15880,1125,32135,3219,398
236,신흥택시,4058,209220,161437,27233,1815,15885,2446,404
237,남부대,5428,208148,118869,55484,1157,25907,6265,466
238,풍암한신아파트,2269,208073,156920,39870,4113,4868,1580,722
239,신안사거리,4343,208014,141408,13066,1584,47560,4017,379
240,서광주우체국,2301,207887,149409,47053,1157,7790,2273,205
241,목련마을6단지,5296,206702,133415,27039,3185,36528,6117,418
242,한국광기술원,4128,206175,106655,52129,45946,1256,183,6
243,동구청,1041,205748,158834,21868,1900,20781,2008,357
244,시립장애인복지관,4158,205508,167332,25473,2025,8868,1269,541
245,금호한국아파트,2011,205159,141391,30215,8588,19437,4949,579
246,모아2차아파트,3107,204492,168484,26218,2063,6359,1118,250
247,매곡삼익아파트,4205,204300,166892,27860,4603,3778,790,377
248,동구청,1044,204174,137681,25620,3338,33953,3232,350
249,대성사거리,5126,202859,134077,21479,2407,38649,5818,429
250,운천초교,2236,201702,127008,43538,19708,9475,1710,263
251,자연과학고,4367,200496,124645,60364,10000,3464,1781,242
252,백운광장,3213,199437,132422,17795,1450,43280,4212,278
253,법원입구,1056,198673,158316,9866,1227,27721,1335,208
254,유동사거리,4527,197889,149309,11534,937,33136,2749,224
255,대인시장(서),1116,196866,157356,8441,1441,28267,1172,189
256,풍암한국아파트,2267,195823,151979,33716,2645,5467,1485,531
257,송암공단입구,3155,195779,113696,39275,25474,13692,3543,99
258,목련마을8단지,5298,195699,149197,26233,1123,15509,3242,395
259,까치고개,3189,194886,133196,13464,1807,40628,5328,463
260,봉선2동주민센터,3254,194215,143343,27651,14811,6564,1175,671
261,운천저수지,2088,193729,130366,17251,860,38161,6903,188
262,첨단1동주민센터,5410,192936,114449,36442,25265,14972,1426,382
263,수완양우내안애,5736,192495,139804,33672,12679,4848,943,549
264,충장치안센터,1135,192476,125090,29893,1286,31026,4424,757
265,운암초교,4460,191774,153921,28201,1573,6737,1198,144
266,풍암모아아파트,2259,191052,145279,30834,4823,8313,1422,381
267,대성사거리,3195,190833,143968,15735,910,26244,3625,351
268,수완새한포유,5707,190190,142543,34343,2682,8133,1941,548
269,상무지구입구,2228,188742,135915,10427,1448,37992,2639,321
270,수완모아엘가,5744,186729,137073,30139,1574,15265,2298,380
271,화정중흥파크,2284,186350,111473,9135,745,59991,4718,288
272,공항역,5203,185958,114537,18701,1557,44453,6407,303
273,전남대병원오거리,1046,184853,129166,10704,1523,39343,3703,414
274,동성고,3240,183902,92206,45814,4113,34293,7004,472
275,전남여고,1128,183833,121780,20140,1245,37265,3063,340
276,삼익세라믹,1156,183597,120218,46699,5818,8678,1930,254
277,상무중,2079,183388,111424,14422,1019,51380,4692,451
278,시청,2233,182294,111762,25409,1265,39213,4413,232
279,월산5동,3186,180111,131727,14828,532,29249,3540,235
280,영광통,5260,179988,103713,17033,2208,49047,7625,362
281,신세계백화점(북),2275,179908,147034,10845,701,18449,2263,616
282,마재대주아파트,2024,179656,120290,32396,2480,20205,3852,433
283,상무금호아파트,2215,178652,88948,51786,35438,1677,694,109
284,일곡삼호아파트,4580,178297,91119,49583,29452,6054,1745,344
285,두암주공입구,4163,177482,139277,18453,2235,15745,1551,221
286,산정중입구,5566,177338,120824,34078,17844,3194,939,459
287,전남대후문(북),4408,176763,146877,16856,542,10994,1365,129
288,학동시장,1150,176480,105422,6518,1260,59204,3639,437
289,엔씨백화점,4539,176232,147237,6814,487,20518,928,248
290,금호시영아파트,2010,175982,132682,19665,1326,19949,1814,546
