,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
75,인앤아웃약국,1000,1300,,,,,37.5708033,126.9798544,종로구
76,서현온누리약국,0900,1400,,,,,37.559324100000005,126.97890509999999,중구
77,명동사랑약국,0900,1700,,,,,37.56091199999999,126.98384890000001,중구
78,센츄럴팜약국,1000,2200,1000,2200,,,37.555042,126.96953359999999,중구
79,수연약국,0900,1300,,,,,37.563613000000004,126.9763021,중구
80,소망약국,0830,1400,,,,,37.563751399999994,127.02022849999999,중구
81,에이스약국,1000,1800,,,,,37.5683731,126.9782699,중구
82,유네스코약국,0900,1300,,,,,37.5634096,126.9837369,중구
83,메디칼하나약국,0900,1600,,,,,37.568715000000005,126.97957269999999,중구
84,푸른약국,1000,2200,,,,,37.561627,126.9850537,중구
85,하늘약국,0900,1430,,,,,37.5649963,127.0158543,중구
86,명동약국,0930,1630,,,,,37.5612169,126.98535359999998,중구
87,연합약국,0800,2000,,,0800,1900,37.560539500000004,126.9850662,중구
88,남산우리약국,0900,1500,,,,,37.5582303,126.9820805,중구
89,그린약국,1000,1430,,,,,37.560710799999995,126.9724753,중구
90,신우리약국,0900,1230,,,,,37.564848,126.98933629999999,중구
91,예솔약국,0900,1400,,,,,37.5607773,126.9682129,중구
92,메디칼하나약국,0900,1600,,,,,37.555647799999996,127.0114037,중구
93,필약국,0900,1300,,,,,37.5603617,126.9958881,중구
94,한마음약국,0830,1300,,,,,37.5644871,126.98886570000002,중구
95,새삼성약국,0730,1800,1200,1700,1200,1700,37.5607238,126.97760020000001,중구
96,명동중앙약국,0830,1900,,,,,37.560981,126.9821321,중구
97,금오약국,0900,1500,,,,,37.559324100000005,126.97890509999999,중구
98,명동천사약국,0930,1330,,,,,37.56307049999999,126.9822429,중구
99,인원약국,0900,2000,,,,,37.5588919,126.96374440000001,중구
100,온누리정일약국,0900,2300,,,,,37.558589399999995,126.9690252,중구
101,동화약국,0900,2100,,,,,37.5617223,127.01708470000001,중구
102,대화약국,1000,1700,,,,,37.5516917,127.01198670000001,중구
103,한중약국,0900,1630,,,,,37.5612786,126.9693213,중구
104,메디팜신웅약국,0900,2100,,,,,37.5662216,127.0207101,중구
105,중부사약국,0700,1200,,,,,37.564587200000005,126.9989136,중구
106,다나약국,0730,2200,,,,,37.5533366,127.0112939,중구
107,새원약국,1000,2200,1000,2100,1100,2100,37.56372929999999,126.98528780000001,중구
108,대풍약국,0900,2200,,,,,37.55331049999999,127.009042,중구
109,한일약국,1030,1330,,,,,37.563030600000005,126.9732584,중구
110,대도약국,,,,,,,37.5612764,126.9923025,중구
111,한미약국,0730,1700,,,,,37.5694218,127.01321850000001,중구
