,약국명,토요일 시작,토요일 종료,위도,경도,구별
95,대화약국,1000.0,1700.0,37.5516917,127.0119867,중구
96,한중약국,900.0,1630.0,37.5612786,126.9693213,중구
97,메디팜신웅약국,900.0,2100.0,37.5662216,127.0207101,중구
98,중부사약국,700.0,1200.0,37.56458720000001,126.9989136,중구
99,다나약국,730.0,2200.0,37.5533366,127.0112939,중구
100,새원약국,1000.0,2200.0,37.56372929999999,126.9852878,중구
101,대풍약국,900.0,2200.0,37.55331049999999,127.009042,중구
102,한일약국,1030.0,1330.0,37.56303060000001,126.9732584,중구
103,한미약국,730.0,1700.0,37.5694218,127.0132185,중구
104,금오약국,900.0,1500.0,37.5677014,126.9788451,중구
105,희구약국,900.0,1700.0,37.5584646,126.9773572,중구
106,신라약국,900.0,1400.0,37.5667974,126.9815345,중구
107,신성약국,900.0,2200.0,37.562436100000006,127.0148375,중구
108,지하근화사약국,730.0,2100.0,37.5669376,127.0015264,중구
109,조동약국,930.0,1300.0,37.5673064,126.9867527,중구
110,아세아약국,800.0,1700.0,37.5649007,126.9929747,중구
111,백조약국,800.0,800.0,37.5690803,126.9758729,중구
112,인우약국,900.0,2100.0,37.5589283,126.96594650000002,중구
113,정원약국,1000.0,2200.0,37.5636675,126.9776064,중구
114,장수약국,800.0,2000.0,37.5652265,127.0195821,중구
115,부일약국,900.0,2100.0,37.5627334,127.0131064,중구
116,광진약국,830.0,1600.0,37.55992790000001,127.0132577,중구
117,동국약국,830.0,1600.0,37.5607963,126.9988953,중구
118,동문약국,900.0,1200.0,37.56696029999999,127.0062464,중구
119,남시약국,800.0,1900.0,37.5607285,126.9777281,중구
120,영진약국,1000.0,1600.0,37.563844,126.9931044,중구
121,을지로5가보영약국,900.0,1300.0,37.567854,127.0024888,중구
122,메디팜광주약국,800.0,2100.0,37.5579756,126.9783282,중구
123,국민약국,900.0,1300.0,37.5670341,127.0063439,중구
124,서울시니어스약국,800.0,1630.0,37.5511032,127.0082145,중구
125,새생명약국,900.0,1900.0,37.5491389,127.0093824,중구
126,무릉약국,700.0,1900.0,37.5624756,126.99632040000002,중구
127,행복한약국,900.0,1500.0,37.5634635,127.015948,중구
