,약국명,공휴일 시작,공휴일 종료,위도,경도,구별
92,덕수약국,900.0,1200.0,37.5971532,127.0757912,중랑구
93,태릉프라자약국,1500.0,1900.0,37.5982954,127.076905,중랑구
94,엔파트약국,900.0,1500.0,37.5939234,127.0749298,중랑구
95,무궁화약국,900.0,2200.0,37.5794549,127.087121,중랑구
96,수성약국,1000.0,1800.0,37.6092166,127.0946652,중랑구
97,새봉화약국,900.0,1400.0,37.61639470000001,127.0926039,중랑구
98,새우정약국,1000.0,2000.0,37.5994539,127.0997267,중랑구
99,새우림약국,1600.0,2130.0,37.5986427,127.0975679,중랑구
100,백세약국,900.0,2200.0,37.6066393,127.0955549,중랑구
101,3층엠코약국,900.0,1800.0,37.5977195,127.0932913,중랑구
102,튼튼약국,1500.0,2200.0,37.5838499,127.0884928,중랑구
103,수진약국,800.0,2000.0,37.6143669,127.0534274,성북구
104,새민우약국,900.0,2200.0,37.5993837,127.0182666,성북구
105,동부약국,1000.0,1900.0,37.6093646,127.0241008,성북구
106,모당약국,1600.0,2000.0,37.5963256,127.015127,성북구
107,세원약국,900.0,2300.0,37.5937325,127.0188153,성북구
108,온누리민우약국,1300.0,2100.0,37.6106761,127.0606347,성북구
109,대영약국,800.0,2100.0,37.5991396,127.036201,성북구
110,화성약국,830.0,2200.0,37.6085364,127.0358646,성북구
111,자산약국,900.0,1900.0,37.6043904,127.0394652,성북구
112,태평양약국,830.0,2000.0,37.6113927,127.0091032,성북구
113,정주약국,1200.0,1800.0,37.6076801,127.0361554,성북구
114,영생약국,930.0,2100.0,37.5943878,127.0339239,성북구
115,수보약국,900.0,2000.0,37.6087671,127.0080315,성북구
116,정인약국,1400.0,1800.0,37.6023816,127.0158976,성북구
117,월곡약국,900.0,2130.0,37.6025504,127.0415568,성북구
118,계산온누리약국,1500.0,2200.0,37.59062340000001,127.0170138,성북구
119,365약국,900.0,2100.0,37.6085892,127.0294443,성북구
120,새국민약국,1000.0,1700.0,37.6029449,127.0420987,성북구
121,인정온누리약국,900.0,1500.0,37.5854352,127.0101732,성북구
122,옵티마대우미약국,800.0,2100.0,37.5889646,127.0063694,성북구
