,약국명,일요일 시작,일요일 종료,위도,경도,구별
93,강변그랜드약국,900.0,1800.0,37.54329110000001,127.069075,광진구
94,금성약국,1300.0,2200.0,37.5376448,127.0836627,광진구
95,뉴메디칼약국,900.0,2130.0,37.5359613,127.0652252,광진구
96,건대역약국,1000.0,1700.0,37.54073229999999,127.0673778,광진구
97,강변그랜드약국,900.0,1800.0,37.5373373,127.09767240000002,광진구
98,온누리강변프라자약국,900.0,1800.0,37.5373373,127.09767240000002,광진구
99,뉴메디칼약국,900.0,2130.0,37.5483453,127.0693268,광진구
100,비전약국,900.0,2000.0,37.5389211,127.06680520000002,광진구
101,새성수약국,1100.0,2300.0,37.58071760000001,127.05163229999998,동대문구
102,아파트엠약국,1000.0,2100.0,37.5727927,127.0321687,동대문구
103,외대조은약국,1000.0,2400.0,37.5764921,127.0604586,동대문구
104,메디팜동아약국,1300.0,1800.0,37.5966208,127.0670655,동대문구
105,레몬약국,900.0,1300.0,37.5402806,127.0950196,광진구
106,중곡종로약국,1000.0,2100.0,37.5575847,127.0881598,광진구
107,삼육오약국,1000.0,1900.0,37.5401601,127.0631631,광진구
108,행복한약국,900.0,1800.0,37.5356875,127.0821274,광진구
109,온누리메디칼약국,900.0,2000.0,37.5405784,127.0676377,광진구
110,더클래식약국,900.0,2400.0,37.5387765,127.0710831,광진구
111,진명약국,900.0,2100.0,37.5542743,127.07542240000002,광진구
112,용상약국,1700.0,2200.0,37.5483553,127.1076331,광진구
113,광해약국,1000.0,2130.0,37.55623370000001,127.0792995,광진구
114,동서울약국,830.0,2200.0,37.5333713,127.0933675,광진구
115,호림약국,1700.0,2200.0,37.5474493,127.0688343,광진구
116,수도약국,1030.0,1700.0,37.5451101,127.0884521,광진구
117,완미약국,1800.0,2400.0,37.5448201,127.08543190000002,광진구
118,더샾스타시티약국,900.0,2300.0,37.5383305,127.07510220000002,광진구
119,신상록수약국,1000.0,2000.0,37.5734302,127.031128,동대문구
120,흥명약국,1400.0,2230.0,37.57542539999999,127.04131470000002,동대문구
121,신보명약국,830.0,2030.0,37.5649987,127.0644719,동대문구
122,신한약국,900.0,1300.0,37.5753558,127.0722987,동대문구
123,중경당약국,900.0,2300.0,37.5660714,127.0680604,동대문구
124,청량리중앙약국,1000.0,2200.0,37.5792928,127.0479007,동대문구
125,한사랑온누리약국,900.0,1700.0,37.5674369,127.0523757,동대문구
126,한가람약국,900.0,2030.0,37.5901586,127.0617577,동대문구
127,연세약국,1200.0,1700.0,37.57855550000001,127.0581978,동대문구
128,서생당약국,900.0,1800.0,37.5749819,127.0469616,동대문구
129,세광약국,700.0,2030.0,37.57947520000001,127.042044,동대문구
130,새린온누리약국,900.0,1800.0,37.57211789999999,127.0698325,동대문구
131,중량약국,900.0,1800.0,37.59180900000001,127.0674123,동대문구
132,행복한정약국,800.0,1900.0,37.60336420000001,127.0622216,동대문구
133,메디팜사랑약국,900.0,1800.0,37.5895839,127.0623447,동대문구
134,메디칼갑산약국,900.0,1700.0,37.5916719,127.0665908,동대문구
135,이문우량아약국,830.0,1900.0,37.6032986,127.0655384,동대문구
136,넘버원삼육약국,900.0,1700.0,37.5887474,127.0626484,동대문구
137,한사랑온누리약국,900.0,1700.0,37.6031017,127.0667232,동대문구
138,오로라온누리약국,1630.0,2000.0,37.5788629,127.0501263,동대문구
139,새시장약국,1000.0,2200.0,37.5959976,127.09962790000002,중랑구
140,새우정약국,1000.0,2000.0,37.61384899999999,127.0759618,중랑구
141,상아약국,830.0,1930.0,37.5950066,127.1002367,중랑구
142,새대우약국,900.0,2100.0,37.6064225,127.078833,중랑구
143,세화당약국,1100.0,2330.0,37.59936920000001,127.0764867,중랑구
144,성지약국,1730.0,2230.0,37.6174917,127.0821762,중랑구
145,상봉태평양약국,1200.0,1800.0,37.5995978,127.0981633,중랑구
146,건명약국,1000.0,1800.0,37.589608,127.0870355,중랑구
147,은혜약국,1200.0,1900.0,37.5956471,127.0993966,중랑구
148,로데오약국,1300.0,1900.0,37.58127899999999,127.0886917,중랑구
149,이즈약국,830.0,1800.0,37.5995459,127.0977381,중랑구
150,팜코리아약국,900.0,1900.0,37.58318970000001,127.08864579999998,중랑구
151,덕수약국,900.0,1200.0,37.5971532,127.0757912,중랑구
152,태릉프라자약국,1500.0,1900.0,37.5982954,127.076905,중랑구
153,엔파트약국,1000.0,1300.0,37.5939234,127.0749298,중랑구
